tissue_template_masterfork

[OBJECT:TISSUE_TEMPLATE]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SKIN_TEMPLATE]
	[TISSUE_NAME:skin:NP]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SKIN]
	[RELATIVE_THICKNESS:2]
	[HEALING_RATE:85]
	[VASCULAR:1]
	[PAIN_RECEPTORS:2]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_FAT_TEMPLATE]
	[TISSUE_NAME:fat:NP]
	[THICKENS_ON_ENERGY_STORAGE]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:FAT]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:80]
	[CONNECTS]
	[INSULATION:100]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_MUSCLE_TEMPLATE]
	[TISSUE_NAME:muscle:muscles]
	[THICKENS_ON_STRENGTH]
	[ARTERIES]
	[SCARS]
	[MUSCULAR]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:MUSCLE]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:120]
	[VASCULAR:5]
	[PAIN_RECEPTORS:3]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_BONE_TEMPLATE]
	[TISSUE_NAME:bone:NP]
	[STRUCTURAL]
	[CONNECTIVE_TISSUE_ANCHOR]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:BONE]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:500]
	[VASCULAR:3]
	[PAIN_RECEPTORS:25]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SHELL_TEMPLATE]
	[TISSUE_NAME:shell:NP]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SHELL]
	[RELATIVE_THICKNESS:4]
	[HEALING_RATE:500]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SCALE_TEMPLATE]
	[TISSUE_NAME:scale:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SCALE]
	[SCARS]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:250]
	--PAIN_RECEPTORS:2]
	[CONNECTS]
	[TISSUE_SHAPE:SCALES]

[TISSUE_TEMPLATE:MONSTER_TISSUE_CLAW_TEMPLATE]
	[TISSUE_NAME:claw:NP]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:CLAW]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:250]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_TALON_TEMPLATE]
	[TISSUE_NAME:talon:NP]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:TALON]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:250]
	[CONNECTS]
